"Home name",Long,Lat
Palackeho,15.421978,50.033354

,,"Product name","Product type",,,
,,Thermostat,NATherm1,,,

Timestamp,"Timezone : Europe/Prague","Temperature °C","Setpoint Temperature °C","Boiler ON","Boiler OFF",
1769906850,"2026/02/01 01:47:30",22.6,23,602,0,
1769907450,"2026/02/01 01:57:30",22.6,23,603,0,
1769908050,"2026/02/01 02:07:30",22.6,23,592,0,
1769908650,"2026/02/01 02:17:30",22.6,23,602,0,
1769909250,"2026/02/01 02:27:30",22.6,23,603,0,
1769909850,"2026/02/01 02:37:30",22.6,23,602,0,
1769910450,"2026/02/01 02:47:30",22.7,23,592,0,
1769911050,"2026/02/01 02:57:30",22.7,23,602,0,
1769911650,"2026/02/01 03:07:30",22.7,23,603,0,
1769912250,"2026/02/01 03:17:30",22.7,23,602,0,
1769912850,"2026/02/01 03:27:30",22.7,23,592,0,
1769913450,"2026/02/01 03:37:30",22.7,23,603,0,
1769914050,"2026/02/01 03:47:30",22.7,23,602,0,
1769914650,"2026/02/01 03:57:30",22.7,23,603,0,
1769915250,"2026/02/01 04:07:30",22.7,23,602,0,
1769915850,"2026/02/01 04:17:30",22.7,23,592,0,
1769916450,"2026/02/01 04:27:30",22.7,23,602,0,
1769917050,"2026/02/01 04:37:30",22.7,23,603,0,
1769917650,"2026/02/01 04:47:30",22.7,23,602,0,
1769918250,"2026/02/01 04:57:30",22.7,23,592,0,
1769918850,"2026/02/01 05:07:30",22.7,23,603,0,
1769919450,"2026/02/01 05:17:30",22.7,23,602,0,
1769920050,"2026/02/01 05:27:30",22.7,23,603,0,
1769920650,"2026/02/01 05:37:30",22.7,23,591,0,
1769921250,"2026/02/01 05:47:30",22.7,23,603,0,
1769921850,"2026/02/01 05:57:30",22.7,23,602,0,
1769922450,"2026/02/01 06:07:30",22.8,23,603,0,
1769923050,"2026/02/01 06:17:30",22.8,23,602,0,
1769923650,"2026/02/01 06:27:30",22.8,23,592,0,
1769924250,"2026/02/01 06:37:30",22.8,23,603,0,
1769924850,"2026/02/01 06:47:30",22.8,23,602,0,
1769925450,"2026/02/01 06:57:30",22.8,23,603,0,
1769926050,"2026/02/01 07:07:30",22.8,23,591,0,
1769926650,"2026/02/01 07:17:30",22.8,23,603,0,
1769927250,"2026/02/01 07:27:30",22.8,23,602,0,
1769927850,"2026/02/01 07:37:30",22.8,23,603,0,
1769928450,"2026/02/01 07:47:30",22.9,23,592,0,
1769929050,"2026/02/01 07:57:30",22.9,23,602,0,
1769929650,"2026/02/01 08:07:30",22.9,23,603,0,
1769930250,"2026/02/01 08:17:30",23,23,602,0,
1769930850,"2026/02/01 08:27:30",23,23,603,0,
1769931450,"2026/02/01 08:37:30",23,23,591,0,
1769932050,"2026/02/01 08:47:30",23,23,603,0,
1769932650,"2026/02/01 08:57:30",23.1,23,602,0,
1769933250,"2026/02/01 09:07:30",23.1,23,603,0,
1769933850,"2026/02/01 09:17:30",23.1,23,592,0,
1769934450,"2026/02/01 09:27:30",23.1,23,602,0,
1769935050,"2026/02/01 09:37:30",23.2,23,452,151,
1769935650,"2026/02/01 09:47:30",23.2,23,0,602,
1769936250,"2026/02/01 09:57:30",23.2,23,0,592,
1769936850,"2026/02/01 10:07:30",23.2,23,0,602,
1769937450,"2026/02/01 10:17:30",23.2,23,0,603,
1769938050,"2026/02/01 10:27:30",23.2,23,0,602,
1769938650,"2026/02/01 10:37:30",23.2,23,0,603,
1769939250,"2026/02/01 10:47:30",23.2,23,0,592,
1769939850,"2026/02/01 10:57:30",23.2,23,0,602,
1769940450,"2026/02/01 11:07:30",23.1,23,0,603,
1769941050,"2026/02/01 11:17:30",23,23,0,602,
1769941650,"2026/02/01 11:27:30",23.1,23,0,592,
1769942250,"2026/02/01 11:37:30",23.1,23,0,602,
1769942850,"2026/02/01 11:47:30",23.1,23,0,603,
1769943450,"2026/02/01 11:57:30",23.1,23,0,602,
1769944050,"2026/02/01 12:07:30",23.1,23,0,592,
